DIWATER;DIPUBT;DISEA;weeklyprice;NREF;ROOMS;BEDROOMS;PETS;CAIRCOND;id
close;;;;ES9510.388.2;0.1052631579;0.1333333333;0;0;1
;;close;;ES9510.388.3;0.1052631579;0.1333333333;0;0;2
;;;;ES9510.388.4;0.2105263158;0.2666666666;1;0;3
close;;close;;ES9510.388.5;0.2105263158;0.2666666666;0;0;4
close;;;;ES9510.388.6;0.3157894737;0.3999999999;1;0;5
;;close;;ES9510.388.7;0.3157894737;0.3999999999;1;0;6
close;;;;ES9510.388.8;0.4210526316;0.5222222222;1;0;7
close;;close;;ES9510.388.9;0.4210526316;0.5222222222;0;0;8
close;;close;;US3274.10.1;0.5263157895;0.6666666665;0;0;9
close;;close;;US3274.10.2;0.5263157895;0.6666666665;1;0;10
close;;close;;US3274.10.3;0.6315789474;0.7999999998;1;0;11
close;;close;;US3274.10.4;0.6315789474;0.7999999998;1;0;12
close;;close;;US3274.10.5;0.7368421053;0.9333333331;1;0;13
close;;close;;US3274.10.6;7.8947368425;0.9333333331;1;0;14
close;;close;;US3274.10.7;0.8421052632;1.0666666664;1;0;15
close;;close;;US3274.10.8;0.8421052632;1.0666666664;1;0;16
close;;close;;US3274.10.9;0.9473684211;1.1999999997;1;0;17
;;;;ES9510.388.1;0.9473684211;1.1999999997;0;0;18
