DIWATER;DIPUBT;DISEA;weeklyprice;NREF;ROOMS;BEDROOMS;PETS;CAIRCOND;id
close;;close;;ES9510.388.2;0.1052631579;0.1333333333;0;0;1
close;;close;;ES9510.388.3;0.1052631579;0.1333333333;0;0;2
close;;close;;ES9510.388.4;0.2105263158;0.2666666666;0;0;3
close;;close;;ES9510.388.5;0.2105263158;0.2666666666;0;0;4
close;;close;;ES9510.388.6;0.3157894737;0.3999999999;0;0;5
close;;close;;ES9510.388.7;0.3157894737;0.3999999999;0;0;6
close;;close;;ES9510.388.8;0.4210526316;0.5222222222;0;0;7
close;;close;;ES9510.388.9;0.4210526316;0.5222222222;0;0;8
;;;;US3274.10.1;0.1052631579;0.1333333333;1;0;9
;;;;US3274.10.2;0.1052631579;0.1333333333;1;0;10
;;;;US3274.10.3;0.1052631579;0.2666666666;1;0;11
;;;;US3274.10.4;0.1052631579;0.2666666666;1;0;12
;;;;US3274.10.5;0.1052631579;0.3999999999;1;0;13
;;;;US3274.10.6;0.1052631579;0.3999999999;1;0;14
;;;;US3274.10.7;0.1052631579;0.5333333332;1;0;15
;;;;US3274.10.8;0.1052631579;0.5333333332;1;0;16
;;;;US3274.10.9;0.1052631579;0.6666666665;1;0;17
;;;;ES9510.388.1;0.2105263158;0.6666666665;0;0;18
