DIWATER;DIPUBT;DISEA;weeklyprice;NREF;ROOMS;BEDROOMS;PETS;CAIRCOND;id
close;;close;;ES9510.388.2;0.1052631579;0.1333333333;0;0;1
close;;close;;ES9510.388.3;0.1052631579;0.1333333333;0;0;2
close;;close;;ES9510.388.4;0.1052631579;0.1333333333;0;0;3
close;;close;;ES9510.388.5;0.1052631579;0.1333333333;0;0;4
close;;close;;ES9510.388.6;0.1052631579;0.1333333333;0;0;5
close;;close;;ES9510.388.7;0.1052631579;0.1333333333;0;0;6
close;;close;;ES9510.388.8;0.1052631579;0.1333333333;0;0;7
close;;close;;ES9510.388.9;0.1052631579;0.1333333333;0;0;8
close;;close;;ES9510.388.10;0.1052631579;0.1333333333;0;0;9
;;;;US3274.10.5;0.6315789474;0.6555555555;1;0;10
